DesignName,ParticipantID,TrialID,Block1,Block2,OC,VV,Duration,NbErrors
Design 1,1,1,1,1,Medium,Saturation,1558,0
Design 1,1,2,1,2,Medium,Hue_Saturation,1101,0
Design 1,1,3,1,2,Medium,Hue_Saturation,1746,0
Design 1,1,4,1,3,Medium,Hue,639,0
Design 1,1,5,1,4,Medium,Hue_Saturation,1393,0
Design 1,1,6,1,5,Medium,Saturation,506,0
Design 1,1,7,1,6,Medium,Hue,482,0
Design 1,1,8,1,7,Medium,Hue_Saturation,437,0
Design 1,1,9,1,8,Medium,Hue,563,0
Design 1,1,10,1,9,Medium,Hue_Saturation,727,0
Design 1,1,11,1,10,Medium,Saturation,1836,0
Design 1,1,12,1,10,Medium,Saturation,541,0
Design 1,1,13,1,11,Medium,Hue,469,0
Design 1,1,14,1,12,Medium,Saturation,441,0
Design 1,1,15,1,13,Medium,Hue,344,0
Design 1,1,16,2,1,Low,Saturation,519,0
Design 1,1,17,2,2,Low,Hue_Saturation,490,0
Design 1,1,18,2,2,Low,Hue_Saturation,425,0
Design 1,1,19,2,3,Low,Hue,537,0
Design 1,1,20,2,4,Low,Hue_Saturation,632,0
Design 1,1,21,2,5,Low,Saturation,558,0
Design 1,1,22,2,6,Low,Hue,536,0
Design 1,1,23,2,7,Low,Hue_Saturation,593,0
Design 1,1,24,2,8,Low,Hue,504,0
Design 1,1,25,2,9,Low,Hue_Saturation,873,0
Design 1,1,26,2,10,Low,Saturation,575,0
Design 1,1,27,2,10,Low,Saturation,554,0
Design 1,1,28,2,11,Low,Hue,553,0
Design 1,1,29,2,12,Low,Saturation,537,0
Design 1,1,30,2,13,Low,Hue,516,0
Design 1,1,31,3,1,High,Saturation,564,0
Design 1,1,32,3,2,High,Hue_Saturation,928,0
Design 1,1,33,3,2,High,Hue_Saturation,1448,0
Design 1,1,34,3,3,High,Hue,565,0
Design 1,1,35,3,4,High,Hue_Saturation,738,0
Design 1,1,36,3,5,High,Saturation,583,0
Design 1,1,37,3,6,High,Hue,1002,0
Design 1,1,38,3,7,High,Hue_Saturation,832,0
Design 1,1,39,3,8,High,Hue,583,0
Design 1,1,40,3,9,High,Hue_Saturation,1441,0
Design 1,1,41,3,10,High,Saturation,657,0
Design 1,1,42,3,10,High,Saturation,609,0
Design 1,1,43,3,11,High,Hue,580,0
Design 1,1,44,3,12,High,Saturation,576,0
Design 1,1,45,3,13,High,Hue,502,0
Design 1,2,46,1,1,High,Saturation,687,0
Design 1,2,47,1,2,High,Hue_Saturation,2246,0
Design 1,2,48,1,2,High,Hue_Saturation,2281,0
Design 1,2,49,1,3,High,Hue,574,0
Design 1,2,50,1,4,High,Hue_Saturation,778,0
Design 1,2,51,1,5,High,Saturation,646,0
Design 1,2,52,1,6,High,Hue,519,0
Design 1,2,53,1,7,High,Hue_Saturation,1882,0
Design 1,2,54,1,8,High,Hue,905,0
Design 1,2,55,1,9,High,Hue_Saturation,792,0
Design 1,2,56,1,10,High,Saturation,539,0
Design 1,2,57,1,10,High,Saturation,674,0
Design 1,2,58,1,11,High,Hue,504,0
Design 1,2,59,1,12,High,Saturation,548,0
Design 1,2,60,1,13,High,Hue,751,0
Design 1,2,61,2,1,Medium,Saturation,495,0
Design 1,2,62,2,2,Medium,Hue_Saturation,1083,0
Design 1,2,63,2,2,Medium,Hue_Saturation,1676,0
Design 1,2,64,2,3,Medium,Hue,667,0
Design 1,2,65,2,4,Medium,Hue_Saturation,1162,0
Design 1,2,66,2,5,Medium,Saturation,584,0
Design 1,2,67,2,6,Medium,Hue,808,0
Design 1,2,68,2,7,Medium,Hue_Saturation,1505,0
Design 1,2,69,2,8,Medium,Hue,599,0
Design 1,2,70,2,9,Medium,Hue_Saturation,1126,0
Design 1,2,71,2,10,Medium,Saturation,595,0
Design 1,2,72,2,10,Medium,Saturation,614,0
Design 1,2,73,2,11,Medium,Hue,585,0
Design 1,2,74,2,12,Medium,Saturation,1312,0
Design 1,2,75,2,13,Medium,Hue,524,0
Design 1,2,76,3,1,Low,Saturation,539,0
Design 1,2,77,3,2,Low,Hue_Saturation,829,0
Design 1,2,78,3,2,Low,Hue_Saturation,792,0
Design 1,2,79,3,3,Low,Hue,501,0
Design 1,2,80,3,4,Low,Hue_Saturation,803,0
Design 1,2,81,3,5,Low,Saturation,914,0
Design 1,2,82,3,6,Low,Hue,586,0
Design 1,2,83,3,7,Low,Hue_Saturation,766,1
Design 1,2,84,3,8,Low,Hue,597,0
Design 1,2,85,3,9,Low,Hue_Saturation,942,0
Design 1,2,86,3,10,Low,Saturation,493,0
Design 1,2,87,3,10,Low,Saturation,819,0
Design 1,2,88,3,11,Low,Hue,405,0
Design 1,2,89,3,12,Low,Saturation,173,0
Design 1,2,90,3,13,Low,Hue,454,0
Design 1,3,91,1,1,Low,Saturation,1184,0
Design 1,3,92,1,2,Low,Hue_Saturation,1070,0
Design 1,3,93,1,2,Low,Hue_Saturation,1010,0
Design 1,3,94,1,3,Low,Hue,747,0
Design 1,3,95,1,4,Low,Hue_Saturation,818,0
Design 1,3,96,1,5,Low,Saturation,646,0
Design 1,3,97,1,6,Low,Hue,951,0
Design 1,3,98,1,7,Low,Hue_Saturation,507,0
Design 1,3,99,1,8,Low,Hue,257,0
Design 1,3,100,1,9,Low,Hue_Saturation,379,0
Design 1,3,101,1,10,Low,Saturation,193,0
Design 1,3,102,1,10,Low,Saturation,317,0
Design 1,3,103,1,11,Low,Hue,690,0
Design 1,3,104,1,12,Low,Saturation,1667,0
Design 1,3,105,1,13,Low,Hue,660,0
Design 1,3,106,2,1,High,Saturation,899,0
Design 1,3,107,2,2,High,Hue_Saturation,1712,0
Design 1,3,108,2,2,High,Hue_Saturation,1005,0
Design 1,3,109,2,3,High,Hue,928,0
Design 1,3,110,2,4,High,Hue_Saturation,1386,0
Design 1,3,111,2,5,High,Saturation,814,0
Design 1,3,112,2,6,High,Hue,773,0
Design 1,3,113,2,7,High,Hue_Saturation,2523,0
Design 1,3,114,2,8,High,Hue,692,0
Design 1,3,115,2,9,High,Hue_Saturation,2062,0
Design 1,3,116,2,10,High,Saturation,684,0
Design 1,3,117,2,10,High,Saturation,639,0
Design 1,3,118,2,11,High,Hue,782,0
Design 1,3,119,2,12,High,Saturation,565,0
Design 1,3,120,2,13,High,Hue,719,0
Design 1,3,121,3,1,Medium,Saturation,1025,0
Design 1,3,122,3,2,Medium,Hue_Saturation,1622,0
Design 1,3,123,3,2,Medium,Hue_Saturation,1533,0
Design 1,3,124,3,3,Medium,Hue,703,0
Design 1,3,125,3,4,Medium,Hue_Saturation,928,0
Design 1,3,126,3,5,Medium,Saturation,651,0
Design 1,3,127,3,6,Medium,Hue,626,0
Design 1,3,128,3,7,Medium,Hue_Saturation,1287,0
Design 1,3,129,3,8,Medium,Hue,618,0
Design 1,3,130,3,9,Medium,Hue_Saturation,1197,0
Design 1,3,131,3,10,Medium,Saturation,365,0
Design 1,3,132,3,10,Medium,Saturation,689,0
Design 1,3,133,3,11,Medium,Hue,710,0
Design 1,3,134,3,12,Medium,Saturation,826,0
Design 1,3,135,3,13,Medium,Hue,719,0
Design 1,4,136,1,1,Medium,Saturation,747,0
Design 1,4,137,1,2,Medium,Hue_Saturation,1109,0
Design 1,4,138,1,2,Medium,Hue_Saturation,1491,0
Design 1,4,139,1,3,Medium,Hue,943,0
Design 1,4,140,1,4,Medium,Hue_Saturation,1239,0
Design 1,4,141,1,5,Medium,Saturation,714,0
Design 1,4,142,1,6,Medium,Hue,748,0
Design 1,4,143,1,7,Medium,Hue_Saturation,1479,0
Design 1,4,144,1,8,Medium,Hue,965,0
Design 1,4,145,1,9,Medium,Hue_Saturation,1244,0
Design 1,4,146,1,10,Medium,Saturation,989,0
Design 1,4,147,1,10,Medium,Saturation,1054,0
Design 1,4,148,1,11,Medium,Hue,920,0
Design 1,4,149,1,12,Medium,Saturation,737,0
Design 1,4,150,1,13,Medium,Hue,644,0
Design 1,4,151,2,1,Low,Saturation,703,0
Design 1,4,152,2,2,Low,Hue_Saturation,1069,0
Design 1,4,153,2,2,Low,Hue_Saturation,1052,1
Design 1,4,154,2,3,Low,Hue,744,0
Design 1,4,155,2,4,Low,Hue_Saturation,1178,0
Design 1,4,156,2,5,Low,Saturation,1065,0
Design 1,4,157,2,6,Low,Hue,1169,0
Design 1,4,158,2,7,Low,Hue_Saturation,1115,0
Design 1,4,159,2,8,Low,Hue,660,0
Design 1,4,160,2,9,Low,Hue_Saturation,1357,0
Design 1,4,161,2,10,Low,Saturation,892,0
Design 1,4,162,2,10,Low,Saturation,896,0
Design 1,4,163,2,11,Low,Hue,1078,0
Design 1,4,164,2,12,Low,Saturation,700,0
Design 1,4,165,2,13,Low,Hue,690,0
Design 1,4,166,3,1,High,Saturation,794,0
Design 1,4,167,3,2,High,Hue_Saturation,1401,0
Design 1,4,168,3,2,High,Hue_Saturation,1539,0
Design 1,4,169,3,3,High,Hue,1052,0
Design 1,4,170,3,4,High,Hue_Saturation,1088,0
Design 1,4,171,3,5,High,Saturation,753,0
Design 1,4,172,3,6,High,Hue,689,0
Design 1,4,173,3,7,High,Hue_Saturation,875,0
Design 1,4,174,3,8,High,Hue,690,0
Design 1,4,175,3,9,High,Hue_Saturation,819,0
Design 1,4,176,3,10,High,Saturation,722,0
Design 1,4,177,3,10,High,Saturation,687,0
Design 1,4,178,3,11,High,Hue,864,0
Design 1,4,179,3,12,High,Saturation,646,0
Design 1,4,180,3,13,High,Hue,693,0
Design 1,5,181,1,1,High,Saturation,659,0
Design 1,5,182,1,2,High,Hue_Saturation,723,0
Design 1,5,183,1,2,High,Hue_Saturation,11288,0
Design 1,5,184,1,3,High,Hue,804,0
Design 1,5,185,1,4,High,Hue_Saturation,1545,0
Design 1,5,186,1,5,High,Saturation,747,0
Design 1,5,187,1,6,High,Hue,879,0
Design 1,5,188,1,7,High,Hue_Saturation,1433,0
Design 1,5,189,1,8,High,Hue,721,0
Design 1,5,190,1,9,High,Hue_Saturation,1140,0
Design 1,5,191,1,10,High,Saturation,792,0
Design 1,5,192,1,10,High,Saturation,873,0
Design 1,5,193,1,11,High,Hue,785,0
Design 1,5,194,1,12,High,Saturation,796,0
Design 1,5,195,1,13,High,Hue,911,0
Design 1,5,196,2,1,Medium,Saturation,650,0
Design 1,5,197,2,2,Medium,Hue_Saturation,1260,0
Design 1,5,198,2,2,Medium,Hue_Saturation,1128,1
Design 1,5,199,2,3,Medium,Hue,650,0
Design 1,5,200,2,4,Medium,Hue_Saturation,681,0
Design 1,5,201,2,5,Medium,Saturation,620,0
Design 1,5,202,2,6,Medium,Hue,589,0
Design 1,5,203,2,7,Medium,Hue_Saturation,1493,0
Design 1,5,204,2,8,Medium,Hue,654,0
Design 1,5,205,2,9,Medium,Hue_Saturation,1004,1
Design 1,5,206,2,10,Medium,Saturation,628,0
Design 1,5,207,2,10,Medium,Saturation,677,0
Design 1,5,208,2,11,Medium,Hue,842,0
Design 1,5,209,2,12,Medium,Saturation,539,0
Design 1,5,210,2,13,Medium,Hue,484,0
Design 1,5,211,3,1,Low,Saturation,486,0
Design 1,5,212,3,2,Low,Hue_Saturation,1195,0
Design 1,5,213,3,2,Low,Hue_Saturation,628,0
Design 1,5,214,3,3,Low,Hue,533,0
Design 1,5,215,3,4,Low,Hue_Saturation,927,0
Design 1,5,216,3,5,Low,Saturation,560,0
Design 1,5,217,3,6,Low,Hue,473,0
Design 1,5,218,3,7,Low,Hue_Saturation,708,0
Design 1,5,219,3,8,Low,Hue,505,0
Design 1,5,220,3,9,Low,Hue_Saturation,777,0
Design 1,5,221,3,10,Low,Saturation,558,0
Design 1,5,222,3,10,Low,Saturation,495,0
Design 1,5,223,3,11,Low,Hue,472,0
Design 1,5,224,3,12,Low,Saturation,526,0
Design 1,5,225,3,13,Low,Hue,471,0
Design 1,6,226,1,1,Low,Saturation,642,0
Design 1,6,227,1,2,Low,Hue_Saturation,716,1
Design 1,6,228,1,2,Low,Hue_Saturation,893,0
Design 1,6,229,1,3,Low,Hue,591,0
Design 1,6,230,1,4,Low,Hue_Saturation,988,0
Design 1,6,231,1,5,Low,Saturation,771,0
Design 1,6,232,1,6,Low,Hue,645,0
Design 1,6,233,1,7,Low,Hue_Saturation,1209,0
Design 1,6,234,1,8,Low,Hue,710,0
Design 1,6,235,1,9,Low,Hue_Saturation,1347,0
Design 1,6,236,1,10,Low,Saturation,607,0
Design 1,6,237,1,10,Low,Saturation,600,0
Design 1,6,238,1,11,Low,Hue,587,0
Design 1,6,239,1,12,Low,Saturation,582,0
Design 1,6,240,1,13,Low,Hue,607,0
Design 1,6,241,2,1,High,Saturation,580,0
Design 1,6,242,2,2,High,Hue_Saturation,2573,0
Design 1,6,243,2,2,High,Hue_Saturation,2690,0
Design 1,6,244,2,3,High,Hue,622,0
Design 1,6,245,2,4,High,Hue_Saturation,816,0
